enabled,postOnly,priceIncrement,sizeIncrement,minProvideSize,last,bid,ask,price,type,baseCurrency,quoteCurrency,underlying,restricted,highLeverageFeeExempt,change1h,change24h,changeBod,quoteVolume24h,volumeUsd24h,tokenizedEquity
True,False,0.001,0.1,0.1,5.795,5.793,5.799,5.795,future,,,BAND,False,False,-0.005150214592274678,-0.08088818398096749,-0.04734506000328785,1114873.8101,1114873.8101,
True,False,0.001,0.1,0.1,5.786,5.789,5.807,5.789,spot,BAND,USD,,False,True,-0.007202881152460984,-0.08213096559378469,-0.04817494245314041,141801.5767,141801.5767,
True,False,2.5e-07,1000.0,1000.0,0.0003795,0.00037925,0.00038375,0.0003795,future,,,BAO,False,False,-0.05714285714285714,-0.08992805755395683,-0.053025577043044295,205176.781,205176.781,
True,False,2.5e-07,1000.0,1000.0,0.000386,0.00038575,0.000387,0.000386,spot,BAO,USD,,False,True,-0.040397762585456805,-0.07043949428055388,-0.03740648379052369,312070.991,312070.991,
True,False,2.5e-05,1.0,1.0,0.5676,0.56795,0.568575,0.56795,future,,,BAT,False,False,-0.004033318719859711,-0.07822770429278585,-0.04774280085509494,399749.881,399749.881,
True,False,2.5e-05,1.0,1.0,0.5683,0.56765,0.5695,0.5683,spot,BAT,USD,,False,True,-0.005425271263563178,-0.07780933062880324,-0.04615642833165492,92291.100325,92291.100325,
True,False,0.0025,0.1,0.1,14.325,12.695,12.875,12.875,future,,,BB,True,False,0.0,-0.001744524132583834,-0.0005821851348728896,0.0,0.0,True
True,False,0.0025,0.1,0.1,12.7375,12.7375,12.84,12.7375,future,,,BB,True,False,-0.000980392156862745,-0.008947675549503988,-0.008754863813229572,914.0125,914.0125,True
True,False,0.0025,0.1,0.1,12.7475,12.735,12.865,12.7475,spot,BB,USD,,True,True,0.0,-0.009133307423241352,0.0,107.079,107.079,True
True,False,0.05,0.001,0.001,527.7,527.35,527.7,527.7,future,,,BCH,False,False,-0.010129431626336522,-0.07720556089883711,-0.04505971769815418,37516962.46105,37516962.46105,
True,False,0.05,0.001,0.001,524.75,525.05,526.5,525.05,future,,,BCH,False,False,-0.009806694955209807,-0.07942491452616814,-0.047009710500045376,26071.59775,26071.59775,
True,False,0.05,0.001,0.001,529.1,529.9,531.0,529.9,future,,,BCH,False,False,-0.014047818401711787,-0.08472234217117194,-0.0503584229390681,1501712.13585,1501712.13585,
True,False,1e-06,0.001,0.001,0.01544,0.015479,0.015509,0.015479,spot,BCH,BTC,,False,True,-0.01614440983919151,-0.028920953575909663,-0.002577485662736001,0.710292005,24148.984390444868,
True,False,0.025,0.001,0.001,526.8,527.025,527.4,527.025,spot,BCH,USD,,False,True,-0.01125650766849585,-0.07858735084575375,-0.04632436100429767,2379266.603025,2379266.603025,
True,False,0.025,0.001,0.001,525.225,526.8,527.75,526.8,spot,BCH,USDT,,False,True,-0.010518407212622089,-0.07869884575026233,-0.04798048251558688,151086.763425,151078.32371839508,
True,False,0.005,0.05,0.05,115.0,117.03,118.505,117.03,future,,,BILI,True,False,-0.0005124263387138099,-0.002259260838057888,-0.0005551048294120159,0.0,0.0,True
True,False,0.005,0.05,0.05,118.76,118.52,119.93,118.76,future,,,BILI,True,False,0.0,-0.00037877193720802996,0.0,0.0,0.0,True
True,False,0.005,0.05,0.05,117.42,117.35,118.135,117.42,spot,BILI,USD,,True,True,-0.0003830928361639637,-0.00819325956584171,-0.0003830928361639637,13458.82725,13458.82725,True
True,False,0.005,0.01,0.01,45.08,36.955,38.79,38.79,future,,,BITW,True,False,-0.001415883640108122,-0.025254428948360347,-0.011971472236372899,0.0,0.0,True
True,False,0.005,0.01,0.01,42.67,36.305,37.89,37.89,future,,,BITW,True,False,-0.00013194352816994325,-0.025713551041398816,-0.01328125,0.0,0.0,True
True,False,0.005,0.01,0.01,39.61,37.215,38.815,38.815,spot,BITW,USD,,True,True,-0.0014149729868793415,-0.020070689219893967,-0.013094330027968473,0.0,0.0,True
True,False,0.0025,0.1,0.1,320.52,320.5825,320.6525,320.5825,future,,,BNB,False,False,-0.004510379306597109,-0.05545038707729024,-0.04061737816282863,58632615.21725,58632615.21725,
True,False,0.0025,0.1,0.1,320.0,319.79,320.2125,320.0,future,,,BNB,False,False,-0.0052303124975713634,-0.056269906806653294,-0.040774574531066164,529237.5545,529237.5545,
True,False,0.0025,0.1,0.1,317.715,318.3425,318.7625,318.3425,future,,,BNB,False,False,-0.0035994585162406004,-0.06105429260343467,-0.04461900903334234,2619473.3395,2619473.3395,
True,False,1e-07,0.01,0.01,0.0094318,0.00942,0.0094371,0.0094318,spot,BNB,BTC,,False,True,-0.007659449108852556,-0.002358764980273109,0.003607188840060013,8.141201629,276790.0380044195,
True,False,0.001,0.01,0.01,320.593,320.405,320.694,320.593,spot,BNB,USD,,False,True,-0.006116577692627245,-0.05563787074976214,-0.04150098363400444,6573124.32892,6573124.32892,
True,False,0.001,0.01,0.01,320.376,320.53,320.852,320.53,spot,BNB,USDT,,False,True,-0.006219460773371034,-0.055021772265347456,-0.04183257404550944,1671713.29906,1671619.9171551145,
True,False,0.0005,0.1,0.1,3.3215,3.3175,3.3215,3.3215,future,,,BNT,False,False,-0.006134051466187912,-0.06198813894380119,-0.03626867836936022,348774.65665,348774.65665,
True,False,0.0005,0.1,0.1,3.328,3.326,3.3295,3.328,spot,BNT,USD,,False,True,-0.005230907188761022,-0.06227106227106227,-0.03633994498335023,479975.6291,479975.6291,
True,False,0.01,0.01,0.01,212.51,213.55,214.9,213.55,future,,,BNTX,True,False,0.0,0.00014050206069689023,0.0001873448550419184,0.0,0.0,True
True,False,0.01,0.01,0.01,213.88,213.6,214.95,213.88,future,,,BNTX,True,False,0.0,0.0,0.0,0.0,0.0,True
True,False,0.01,0.01,0.01,215.06,213.51,215.05,215.05,spot,BNTX,USD,,True,True,0.0006514354846214695,0.0006514354846214695,0.0006514354846214695,436.5718,436.5718,True
True,False,0.001,0.1,0.1,0.442,0.44,0.47,0.442,future,,,BOLSONARO,False,False,0.0,0.0,0.0,0.0,0.0,
